model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c1),3216.5619869966163,11.843977458675745,3216.5619869966163,11.843977458675745,,,,,639.8764586667008,2.338636758078555,636.7132693333891,2.338636758078555,639.8764586667008,2.338636758078555
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c1),55.11704836867326,0.01590942889925012,55.11704836867326,0.01590942889925012,56.0,0.0,56.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c2),4562.086217381514,12.56579414497665,2368.7736730452457,83.6735594471305,,,,,1734.8382639999993,61.106629724014105,1731.6750746666874,61.106629724014105,1734.8382639999993,61.106629724014105
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c2),90.15103215381909,0.18598790743848687,46.23171801982672,0.8923154308929507,96.66666666666667,0.9428090415820634,48.333333333333336,0.4714045207910317,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c2),3454.6985090161693,5.451166948998075,1829.7221046127186,97.65644097536784,,,,,1125.6561893333317,59.90691155631695,1122.4930000000202,59.90691155631695,1125.6561893333317,59.90691155631695
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c2),89.41087935857193,0.32679380558902715,45.82251877283119,0.8627758532198441,96.0,0.0,48.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c5),5099.679523650942,17.60301789155676,1039.710362744575,37.18477489858946,,,,,3948.3404618666705,133.79749723822235,3945.1772725333576,133.79749723822246,3948.3404618666705,133.79749723822235
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c5),112.51104545785644,1.087473969693717,23.655159755706027,0.5798938726319867,141.66666666666666,4.714045207910316,28.333333333333332,0.9428090415820635,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c5),3110.3257247883084,109.18380363595121,639.3073636126003,38.052364963470595,,,,,3217.706781866673,186.49070850676515,3214.5435925333604,186.49070850676517,3217.706781866673,186.49070850676515
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c5),112.36791080633303,1.6738463093048699,23.795044994928638,0.6261280591432787,141.66666666666666,4.714045207910316,28.333333333333332,0.9428090415820635,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c10),5249.528689372669,242.5186854071391,537.0105372578985,33.902980153439195,,,,,7663.780899199992,490.37130083878674,7660.6177098666785,490.3713008387864,7663.780899199992,490.37130083878674
